product_id;ean;qty;date;price;tax;category;name;short_description;description
1;xt00100;120;2011-12-26 12:35:39;50.000000;19.00;Cars;Convertible;The 3 Series convertible, for the first time, is available with a 3-piece folding aluminum hardtop roof.;"<p>The 3 Series convertible, for the first time, is available with a 3-piece folding aluminum hardtop  roof. The new convertible is also the center of many new technological advancements for BMW as well as the recipient of many existing safety and performance technologies that have been improved upon for the new model. The new 3 Series convertible improves upon BMW's ""Comfort Access"" option, by allowing the user to completely raise and lower the folding roof by simply pressing and holding the respective buttons on the key fob.</p>"
2;xt00102;10000;2011-12-26 13:22:48;120.000000;19.00;Cars;Coupe;The two-door iteration of the 3-Series became available in August 2006 and premiered as a 2007 model.;<p>The two-door iteration of the 3-Series became available in August 2006 and premiered as a 2007 model. It is the second BMW coupe offered with BMW xDrive, BMW's moniker for all-wheel-drive, after the 325ix of the late '80s and early '90s. The coupe's body is its own design and no longer derived from the saloon with two less doors like its predecessors, being longer and narrower than the E90 counterpart.</p>
3;9781741105704;12000;2011-12-26 15:38:54;47.600000;19.00;Cars;Saloon (E90);The saloon (sedan) model of the 3 series was the first model sold of the 5th generation BMW 3 series;<p>The saloon (sedan) model of the 3 series was the first model sold of the 5th generation BMW 3 series. Debuting in the US in 2006, the E90 came in two trims, the 325i/x and 330i/x models. Later, the US E90 received an engine boost with the debuts of the 2007 328i/x and 335i/x models.<br /> BMW released an M3 variant of the E90 saloon for the 2008 model year. The M3 features the same V8 Engine as the Coupe. It separated itself from the standard E90 by utilizing the E92 coupe's front fascia.</p>
4;9780007331680;100;2011-12-26 15:42:25;70.000000;19.00;Cars;Touring (E91);The Sports Touring model of the 3-Series is available with both rear-wheel drive and xDrive AWD.;<p>The Sports Touring model of the 3-Series is available with both rear-wheel drive and xDrive AWD. This model features a large (optional) Panoramic roof, which stretches far enough for passengers in the rear to enjoy.</p>
5;10000001;133;2011-12-26 15:46:47;141.690000;19.00;Small Bike;M1;;
6;55889966;122;2011-12-26 15:49:46;69.000000;19.00;2011;M2;;
7;1312313;12;2011-12-26 15:55:33;7.000000;19.00;Music & Video;mp3;mp3;
8;11455;12;2011-12-26 16:00:40;78.000000;19.00;Music & Video;Video;;
9;012122;12;2011-12-26 16:04:54;20.000000;19.00;Water;Water 1,5L;Cool water Water 1,5L;
10;88954;10000;2011-12-26 16:11:38;35.000000;19.00;Water;Water 2,5 L;;
11;;1;2012-12-17 18:03:13;25.000000;19.00;Books;A Backyard Flock for Poultry Meat Production;A Backyard Flock for Poultry Meat Production;"<table class=""form"" style=""font-family: Verdana; font-size: 14px; border: 1px solid #000099;"" width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""3"" align=""center"">  <tbody>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Title:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">A Backyard Flock for Poultry Meat Production</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Personal Author:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">Brown, Leroy C.</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Corporate Author:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%""> </td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Publisher:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"">Univ. of Maine Cooperative Extension; US</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">ISBN:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%""> </td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Edition:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">xxx</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">No. of Pages:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">5  pp.</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Date of Publication:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">000</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Country of Origin:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">United States</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Descriptors:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">POULTRY</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Price:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%""><strong>Php  25.0</strong></td>  </tr>  </tbody>  </table>"
12;;1;2012-12-17 18:06:46;75.000000;19.00;Pamphlets/Feasibility Studies;10 Hakbang sa Paggawa ng Kompost;10 Hakbang sa Paggawa ng Kompost;"<table class=""form"" style=""font-family: Verdana; font-size: 14px; border: 1px solid #000099;"" width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""3"" align=""center"">  <tbody>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Title:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">10 Hakbang sa Paggawa ng Kompost</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Personal Author:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%""> </td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Corporate Author:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">Department of Agriculture; Agriculture and Fisheries Information</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Publisher:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"">Department of Agriculture - RFU#1</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">ISBN:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%""> </td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Edition:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">XXX</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">No. of Pages:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">25  pp.</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Date of Publication:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">000</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Country of Origin:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">Philippines</td>  </tr>  <tr class=""even"" style=""background-color: #ebebdb;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Descriptors:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%"">COMPOST</td>  </tr>  <tr class=""odd"" style=""background-color: #fcfaf6;"">  <td class=""formLabel"" style=""font-family: Verdana; font-size: 10pt; margin-top: 0px; margin-bottom: 0px;"" width=""30%"">Price:</td>  <td class=""formField"" style=""font-family: Verdana; font-size: 13px;"" width=""50%""><strong>Php  75.0<br /><br /></strong></td>  </tr>  </tbody>  </table>"
